n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,score,trial_number
218,29,15,6,sqrt,True,0.9934696139849679,0
369,5,20,9,sqrt,False,0.9921546514383784,1
244,12,13,2,,True,0.9971954585108298,2
281,20,2,7,,True,0.9963579578530982,3
187,7,15,5,log2,True,0.9914717390727811,4
348,13,11,6,log2,True,0.9919787352226143,5
319,28,3,2,,False,0.9718967855116516,6
210,12,12,2,,True,0.9971514171936061,7
52,26,15,8,sqrt,False,0.9945860886735785,8
331,13,3,4,log2,True,0.9927505664412422,9
476,21,8,1,,False,0.9709456650602499,10
145,12,11,3,,True,0.9971500065962349,11
115,10,11,1,,True,0.9970758744686442,12
230,17,8,3,,True,0.9971417759256915,13
423,17,17,3,,True,0.9969893549857731,14
260,9,8,1,,True,0.9970408527927536,15
150,15,13,4,,True,0.9970506807034116,16
82,22,6,2,,True,0.9971238214964477,17
182,9,19,10,sqrt,False,0.9937752579160108,18
285,5,14,5,log2,True,0.9895379785527918,19
228,15,17,2,,True,0.9970770395073529,20
141,12,12,3,,True,0.9971540884319607,21
173,11,13,4,,True,0.997036507127677,22
117,15,10,2,,True,0.9971841135014283,23
103,15,9,3,,True,0.9971981401846826,24
102,15,9,1,,True,0.9971979145633323,25
62,19,6,1,,False,0.9676613359201675,26
103,23,9,1,,True,0.9971739445635206,27
89,18,5,4,log2,True,0.9927595681890354,28
396,15,9,6,sqrt,True,0.9935498920905026,29
500,7,6,3,sqrt,True,0.9940605580404513,30
118,15,10,2,,True,0.9971963936897321,31
130,14,10,2,,True,0.9971839978544897,32
75,17,7,1,,True,0.9971617749043752,33
169,19,10,2,,True,0.9971657312124458,34
209,16,13,5,,True,0.996874317958784,35
264,14,9,3,,False,0.9768226156393925,36
98,10,16,2,log2,True,0.9928133483011579,37
197,13,12,7,sqrt,True,0.99329744388849,38
299,24,14,1,,False,0.9761652208490847,39
51,20,7,4,,True,0.9968782585259135,40
119,16,10,2,,True,0.9972063650359987,41
161,16,10,2,,True,0.9971758254521459,42
121,13,11,3,,True,0.9971861953966572,43
243,18,8,1,,True,0.9971192266326281,44
73,11,12,2,log2,True,0.9930219287284254,45
99,30,4,3,,True,0.9971380474841901,46
136,16,9,1,,False,0.9718744477270361,47
348,13,11,7,,True,0.9963498743399937,48
153,14,7,2,sqrt,True,0.9949426851306675,49
197,8,14,1,,True,0.9970051492923225,50
123,11,11,3,,True,0.9971561087886933,51
123,14,10,3,,True,0.9971883279810168,52
107,12,10,2,,True,0.9971519076684026,53
83,16,9,4,,True,0.9970999972453244,54
65,14,8,3,,True,0.9970804230536178,55
143,17,12,9,,True,0.9959416360050828,56
182,19,10,2,,True,0.9971356750116964,57
441,15,13,5,log2,False,0.9931155597668709,58
90,12,11,3,,True,0.9971374541345659,59
113,10,8,1,,True,0.9971138827638615,60
127,13,11,3,,True,0.9971539672960196,61
158,13,9,2,,True,0.9971796449932452,62
123,15,11,4,,True,0.9971123086095549,63
111,18,10,3,,True,0.9971940636809131,64
62,18,10,4,,True,0.9969917914683982,65
100,21,12,2,,True,0.9971777057246157,66
139,17,20,3,sqrt,True,0.9934455892100222,67
172,20,15,1,,True,0.9971097939813541,68
313,16,9,6,,False,0.9766770356949079,69
83,15,7,2,log2,True,0.9931303326801821,70
110,14,10,3,,True,0.9971980371448128,71
112,14,10,4,,True,0.9971627806890281,72
93,18,8,3,,True,0.9971537417725864,73
147,14,9,3,,True,0.9971379926907844,74
132,16,12,2,,True,0.9971855377070282,75
72,17,10,2,,True,0.9971519347461912,76
111,12,13,1,,True,0.997095774087625,77
238,15,9,3,,True,0.9971279272860143,78
165,19,8,4,sqrt,True,0.9941610242069944,79
57,11,19,1,,False,0.9778105994545407,80
120,13,11,3,,True,0.9972022802558517,81
104,27,10,3,,True,0.9972059501765754,82
104,28,11,3,,True,0.9971777109810651,83
77,25,12,2,,True,0.997171524105523,84
377,22,14,3,,True,0.9970896065375182,85
92,28,10,4,,True,0.9970698440829988,86
153,26,11,2,,True,0.9972134994930159,87
149,26,2,2,log2,True,0.9931973120515549,88
190,26,11,1,,True,0.9970995936288295,89
135,28,9,2,,True,0.9971738807862935,90
116,27,10,3,,True,0.997197982587853,91
102,29,12,2,,True,0.9971857866685194,92
87,26,11,2,,True,0.9971676264203909,93
130,25,9,3,,True,0.9971499597465272,94
212,29,10,5,,True,0.996878291899819,95
285,27,11,1,,True,0.9971512619760702,96
259,13,9,2,sqrt,True,0.9947481802951458,97
118,27,13,3,,True,0.9972024822883405,98
118,30,8,4,,True,0.9971007419200355,99
