Feature,Importance,Impact,Importance_Percentile,Cumulative_Importance,Direction
patient_prop_nbe_0,0.21690759857597383,-0.020256224841203194,53.431104550405365,53.431104550405365,Negative
patient_prop_nbe_1,0.0868599829874369,0.03216007591121117,21.3963220408925,74.82742659129786,Positive
days_since_accident,0.022684743617295517,0.006960890654251261,5.587959646744781,80.41538623804264,Positive
nbe_same_as_prev,0.020054542574373387,0.012217998310803202,4.940059122117774,85.35544536016042,Positive
prev_nbe,0.013201086451354756,-0.005848279126417237,3.2518391932416373,88.60728455340205,Negative
fl_status,0.003440424248936444,0.0008886135710401499,0.8474837624385315,89.45476831584058,Positive
total_status,0.0031991319939605406,0.0009619670132050132,0.7880459567209745,90.24281427256156,Positive
p_score_status_interaction,0.0027918071415688832,-0.001106523236939307,0.6877091454843037,90.93052341804587,Negative
consult_frequency,0.0025685111729179585,-0.00019838044559623703,0.6327043861997059,91.56322780424557,Negative
p_status,0.00234177042891898,0.0005467508031714735,0.5768510713412931,92.14007887558687,Positive
patient_prop_improving,0.0020347234888127364,-0.0006766554869037662,0.5012158364928815,92.64129471207974,Negative
fl_score_rate,0.001988763224998796,0.00023307476472142946,0.4898943905079141,93.13118910258765,Positive
fl_score_cumsum,0.001925645753228134,0.00013645285243384567,0.4743465892539426,93.6055356918416,Positive
is_improving,0.0018418112150788057,0.0005625887262725776,0.45369552860784546,94.05923122044945,Positive
days_since_last_consult,0.0018312286197230056,-0.0006287055595816747,0.45108870541408663,94.51031992586354,Negative
p_score_cumsum,0.0017385118909536204,-4.892858070257203e-05,0.428249684278027,94.93856961014157,Negative
days_per_consult,0.0017188458942937555,-5.758761489478997e-05,0.4234053361292316,95.3619749462708,Negative
fl_score_vs_expected,0.0015002262938208096,0.0005893737035509549,0.36955251213262824,95.73152745840343,Positive
p_status_changes,0.0014040285726989498,0.00013166537624560894,0.3458560140453447,96.07738347244877,Positive
fl_score_patient_std,0.0012081390747181087,-0.00013150567367729756,0.2976023230006083,96.37498579544938,Negative
consult_seq,0.0011790492230596397,0.00013352874592816947,0.2904365855367129,96.66542238098609,Positive
p_score_vs_expected,0.0011477221936478294,0.000407681295651024,0.28271976143859456,96.94814214242469,Positive
telephone_category,0.0009739598540137651,0.00018899989720994525,0.2399166794033711,97.18805882182805,Positive
consult_density,0.000903490983101037,0.00036435304587647844,0.2225579993294308,97.41061682115748,Positive
consult_spacing_mean,0.0008454558111620811,-1.0399957980577447e-05,0.20826212698642024,97.6188789481439,Negative
p_score_patient_mean,0.0008161736546371446,-0.00017162706139570754,0.20104901883798804,97.8199279669819,Negative
consult_spacing_std,0.0007093394892083469,-0.00020714980603576367,0.17473243288130927,97.9946603998632,Negative
p_score_patient_min,0.0006785221865954574,-0.0002832489198119192,0.16714117038667586,98.16180157024988,Negative
total_score,0.0005638421771193789,-3.241480604726852e-05,0.13889190841344157,98.30069347866332,Negative
p_score_rate,0.0005558949626745344,-2.548899724807934e-05,0.13693426170731088,98.43762774037063,Negative
fl_score_patient_mean,0.0005525135533582558,-0.00011731721132544745,0.13610131516282864,98.57372905553346,Negative
is_first_consult,0.0005491077363091903,0.00021730888905596417,0.13526235623274566,98.7089914117662,Positive
p_score_ewm,0.0005405653371010026,1.6291865446099775e-05,0.13315809696197553,98.84214950872818,Positive
consult_spacing_cv,0.0005336747062095002,1.3595073560789168e-05,0.1314607197285396,98.97361022845672,Positive
fl_score_ewm,0.00045747513493858276,3.2332455892258075e-05,0.11269038947730867,99.08630061793403,Positive
fl_score_status_interaction,0.00045196935418881796,4.6508263516900754e-05,0.11133414401240278,99.19763476194643,Positive
patient_prop_worsening,0.00043059449274041755,-9.173002261455403e-05,0.10606884918503007,99.30370361113147,Negative
p_score_patient_std,0.00042925883722549603,3.366443603814455e-05,0.10573983558693752,99.4094434467184,Positive
p_score_mean_sofar,0.0004131347793873805,0.00010475987002543217,0.10176797740501504,99.51121142412342,Positive
score_ratio,0.0003515981658037763,-7.953988601570296e-05,0.08660959081252412,99.59782101493595,Negative
fl_status_changes,0.00032337322155185283,-5.459045578271818e-05,0.07965690701004466,99.677477921946,Negative
fl_score_mean_sofar,0.00026853853794224627,3.775424718845466e-05,0.06614941473145088,99.74362733667745,Positive
p_score_patient_max,0.00023836987335435847,4.9584478405371347e-05,0.05871793200643723,99.80234526868388,Positive
fl_score_patient_min,0.00021446237921037014,9.86796174277759e-06,0.052828770780496026,99.85517403946437,Positive
p_score,0.00010881091922161832,1.1620549890492866e-07,0.02680352204959585,99.88197756151396,Positive
is_accident_weekend,0.00010198624275994417,6.12185575988454e-06,0.025122391448637763,99.9070999529626,Positive
p_score_patient_range,9.710234258018378e-05,2.0719819306012248e-05,0.023919334557907772,99.9310192875205,Positive
fl_score_patient_max,9.457454851304623e-05,-1.377622882556029e-05,0.02329666006439152,99.95431594758489,Negative
fl_score_patient_range,7.537802489682312e-05,-8.587314682730782e-06,0.018567957764073145,99.97288390534897,Negative
fl_score_normalized,5.7932415918496306e-05,5.506802639308324e-06,0.014270560331313404,99.98715446568028,Positive
fl_score,5.214741535218381e-05,6.791346879874948e-06,0.012845534319721044,100.0,Positive
